        Frequency / MHz                S1,1 (Mesh Pass=2)/abs,dB
----------------------------------------------------------------------
                      40                     -0.18444733
               40.259998                      -0.1958787
                   40.52                     -0.20812503
               40.779999                     -0.22793369
               41.040001                     -0.26032549
               41.299999                     -0.30578644
               41.560001                     -0.36047676
                   41.82                     -0.41974762
               42.080002                     -0.48323426
                   42.34                     -0.55836108
               42.599998                     -0.65954226
               42.860001                     -0.80266819
               43.119999                      -0.9967567
               43.380001                      -1.2355191
               43.639999                      -1.4916733
               43.900002                       -1.717868
                   44.16                      -1.8587995
               44.419998                      -1.8741504
                   44.68                      -1.7597553
               44.939999                      -1.5495173
               45.200001                      -1.2964878
               45.459999                      -1.0495595
               45.720001                     -0.83993001
                   45.98                      -0.6789569
               46.240002                     -0.56271087
                    46.5                     -0.47902704
               46.759998                      -0.4144824
                   47.02                     -0.35948113
               47.279999                     -0.31023262
               47.540001                      -0.2675448
               47.799999                     -0.23379909
               48.060001                     -0.21004896
                   48.32                     -0.19469957
               48.580002                     -0.18411766
                   48.84                     -0.17447949
               49.099998                     -0.16363097
               49.360001                     -0.15186152
               49.619999                     -0.14123593
               49.880001                     -0.13400728
               50.139999                     -0.13112136
               50.400002                     -0.13166495
                   50.66                     -0.13347846
               50.919998                     -0.13447786
                   51.18                     -0.13387169
               51.439999                     -0.13253319
               51.700001                     -0.13236265
               51.959999                     -0.13508989
               52.220001                     -0.14126518
                   52.48                     -0.15003322
               52.740002                     -0.15976503
                      53                     -0.16914368
               53.259998                     -0.17801843
                   53.52                     -0.18753201
               53.779999                     -0.19949109
               54.040001                     -0.21539393
               54.299999                     -0.23571949
               54.560001                     -0.25987366
                   54.82                     -0.28678366
               55.080002                     -0.31575426
                   55.34                     -0.34707244
               55.599998                      -0.3820283
               55.860001                     -0.42236473
               56.119999                     -0.46950483
               56.380001                     -0.52397069
               56.639999                        -0.58527
               56.900002                     -0.65221943
                   57.16                     -0.72346211
               57.419998                     -0.79786874
                   57.68                     -0.87460925
               57.939999                     -0.95289935
               58.200001                      -1.0315947
               58.459999                      -1.1088895
