        Frequency / MHz                S1,1 (Mesh Pass=2)/arg,degrees
----------------------------------------------------------------------
                      40                      -1.7973955
               40.259998                      -2.8420175
                   40.52                      -3.9459616
               40.779999                      -5.1102812
               41.040001                      -6.3061034
               41.299999                       -7.493146
               41.560001                      -8.6472919
                   41.82                      -9.7797453
               42.080002                      -10.932605
                   42.34                      -12.147859
               42.599998                      -13.423723
               42.860001                      -14.681241
               43.119999                      -15.758948
               43.380001                      -16.442688
               43.639999                      -16.531249
               43.900002                      -15.931354
                   44.16                      -14.750079
               44.419998                      -13.314462
                   44.68                      -12.061395
               44.939999                      -11.349903
               45.200001                      -11.332982
               45.459999                      -11.958866
               45.720001                      -13.054552
                   45.98                      -14.417855
               46.240002                      -15.881644
                    46.5                      -17.344816
               46.759998                      -18.774307
                   47.02                      -20.185103
               47.279999                      -21.609555
               47.540001                      -23.070419
               47.799999                      -24.568535
               48.060001                      -26.087172
                   48.32                      -27.606349
               48.580002                       -29.11716
                   48.84                      -30.628064
               49.099998                      -32.160567
               49.360001                       -33.73788
               49.619999                      -35.373837
               49.880001                      -37.068604
               50.139999                      -38.812929
               50.400002                      -40.597614
                   50.66                      -42.422334
               50.919998                      -44.298742
                   51.18                      -46.246431
               51.439999                      -48.284699
               51.700001                      -50.425208
               51.959999                      -52.670262
               52.220001                       -55.01694
                   52.48                      -57.464848
               52.740002                      -60.022131
                      53                      -62.706915
               53.259998                      -65.543064
                   53.52                      -68.553496
               53.779999                      -71.755275
               54.040001                      -75.158963
               54.299999                      -78.772824
               54.560001                      -82.608822
                   54.82                      -86.687013
               55.080002                      -91.035459
                   55.34                      -95.686401
               55.599998                      -100.67029
               55.860001                      -106.01135
               56.119999                      -111.72644
               56.380001                      -117.82642
               56.639999                      -124.31903
               56.900002                      -131.20993
                   57.16                      -138.50076
               57.419998                      -146.18427
                   57.68                       -154.2387
               57.939999                      -162.62283
               58.200001                      -171.27463
               58.459999                       179.88657
               58.720001                       170.95431
                   58.98                        162.0274
               59.240002                        153.2016
                    59.5                       144.56329
               59.759998                        136.1857
                   60.02                       128.12756
               60.279999                       120.43423
               60.540001                        113.1388
               60.799999                       106.26268
               61.060001                       99.814817
                   61.32                        93.79059
               61.580002                       88.172022
                   61.84                       82.930671
               62.099998                       78.032715
               62.360001                       73.445342
               62.619999                       69.141094
               62.880001                        65.09847
               63.139999                        61.29938
               63.400002                       57.724678
                   63.66                       54.351357
               63.919998                       51.153407
                   64.18                       48.105641
               64.440002                       45.188577
               64.699997                       42.390956
               64.959999                       39.708334
               65.220001                       37.138409
               65.480003                       34.675798
               65.739998                       32.309653
                      66                       30.025391
               66.260002                       27.809105
               66.519997                       25.652323
               66.779999                       23.553159
               67.040001                       21.513938
               67.300003                       19.535999
               67.559998                        17.61554
                   67.82                       15.742838
               68.080002                       13.905736
               68.339996                       12.094643
               68.599998                       10.305926
               68.860001                       8.5416881
               69.120003                       6.8055085
               69.379997                       5.0975511
               69.639999                       3.4118061
               69.900002                       1.7373169
               70.160004                        0.062937
               70.419998                      -1.6179179
                   70.68                       -3.305603
               70.940002                      -4.9965115
               71.199997                      -6.6881038
               71.459999                      -8.3832748
               71.720001                      -10.091259
               71.980003                       -11.82468
               72.239998                      -13.594327
                    72.5                      -15.405638
               72.760002                      -17.258723
               73.019997                      -19.152242
               73.279999                       -21.08852
               73.540001                      -23.076597
               73.800003                      -25.131417
               74.059998                       -27.26995
                   74.32                      -29.506509
               74.580002                      -31.850523
               74.839996                      -34.308571
               75.099998                      -36.889014
               75.360001                      -39.606771
               75.620003                      -42.485536
               75.879997                      -45.556222
               76.139999                      -48.853019
               76.400002                      -52.410048
               76.660004                      -56.260798
               76.919998                      -60.441639
