        Time / ns                i1 (Mesh Pass=4)/real
----------------------------------------------------------------------
                       0                  -4.8250968e-09
             0.068542875                   1.5053652e-06
              0.13708575                   1.7086448e-06
              0.20562862                   1.9274667e-06
               0.2741715                    2.160614e-06
              0.34271437                   2.4061956e-06
              0.41125724                   2.6614287e-06
              0.47980013                   2.9225141e-06
                0.548343                   3.1844377e-06
               0.6168859                   3.4407556e-06
              0.68542874                   3.6833808e-06
              0.75397164                   3.9023134e-06
              0.82251447                   4.0853984e-06
              0.89105737                   4.2180245e-06
              0.95960027                   4.2828306e-06
               1.0281432                   4.2593829e-06
                1.096686                   4.1238713e-06
               1.1652288                   3.8487633e-06
               1.2337718                   3.4024865e-06
               1.3023146                   2.7491244e-06
               1.3708575                   1.8481054e-06
               1.4394003                    6.539567e-07
               1.5079433                  -8.8393068e-07
               1.5764861                  -2.8214556e-06
               1.6450289                  -5.2198998e-06
               1.7135719                  -8.1459157e-06
               1.7821147                  -1.1671419e-05
               1.8506576                  -1.5873315e-05
               1.9192005                  -2.0833093e-05
               1.9877434                  -2.6636217e-05
               2.0562863                  -3.3371285e-05
               2.1248291                  -4.1128969e-05
                2.193372                  -5.0000639e-05
                2.261915                  -6.0076705e-05
               2.3304577                  -7.1444585e-05
               2.3990006                  -8.4186315e-05
               2.4675436                   -9.837572e-05
               2.5360863                  -0.00011407517
               2.6046293                  -0.00013133184
               2.6731722                  -0.00015017348
                2.741715                  -0.00017060369
               2.8102579                  -0.00019259659
               2.8788006                  -0.00021609111
               2.9473436                  -0.00024098455
               3.0158865                  -0.00026712578
               3.0844293                  -0.00029430786
               3.1529722                  -0.00032226025
               3.2215152                  -0.00035064065
               3.2900579                   -0.0003790264
               3.3586009                  -0.00040690583
               3.4271438                  -0.00043366934
               3.4956865                  -0.00045860058
               3.5642295                  -0.00048086795
               3.6327724                  -0.00049951614
               3.7013152                  -0.00051345868
               3.7698581                  -0.00052147085
               3.8384011                   -0.0005221843
               3.9069438                  -0.00051408232
               3.9754868                  -0.00049549754
               4.0440297                  -0.00046461116
               4.1125727                  -0.00041945477
               4.1811152                  -0.00035791501
               4.2496581                  -0.00027774138
               4.3182011                  -0.00017655757
                4.386744                  -5.1876792e-05
                4.455287                   9.8878467e-05
               4.5238299                   0.00027835194
               4.5923724                   0.00048922398
               4.6609154                   0.00073417643
               4.7294583                    0.0010158519
               4.7980013                    0.0013368065
               4.8665442                    0.0016994573
               4.9350872                    0.0021060228
               5.0036297                    0.0025584572
               5.0721726                    0.0030583786
               5.1407156                    0.0036069914
               5.2092586                     0.004205002
               5.2778015                    0.0048525319
               5.3463445                     0.005549022
                5.414887                    0.0062931371
               5.4834299                    0.0070826667
               5.5519729                    0.0079144211
               5.6205158                     0.008784133
               5.6890588                    0.0096863527
               5.7576013                     0.010614354
               5.8261442                     0.011560038
               5.8946872                     0.012513849
               5.9632301                     0.013464697
               6.0317731                     0.014399887
                6.100316                     0.015305076
               6.1688585                     0.016164226
               6.2374015                     0.016959595
               6.3059444                     0.017671736
               6.3744874                     0.018279528
               6.4430304                     0.018760232
               6.5115733                     0.019089576
               6.5801158                     0.019241866
               6.6486588                      0.01919014
               6.7172017                     0.018906355
               6.7857447                     0.018361606
               6.8542876                     0.017526383
               6.9228306                     0.016370883
               6.9913731                     0.014865332
                7.059916                     0.012980375
                7.128459                     0.010687483
               7.1970019                     0.007959405
               7.2655449                    0.0047706515
               7.3340878                    0.0010980099
               7.4026303                    -0.003078918
               7.4711733                   -0.0077771526
               7.5397162                    -0.013009761
               7.6082592                    -0.018785268
               7.6768022                    -0.025107069
               7.7453446                     -0.03197284
               7.8138876                    -0.039373975
               7.8824306                    -0.047295034
               7.9509735                    -0.055713233
                8.019516                    -0.064597964
               8.0880594                     -0.07391037
               8.1566019                    -0.083603032
               8.2251453                    -0.093619622
               8.2936878                     -0.10389477
               8.3622303                      -0.1143539
               8.4307737                     -0.12491331
               8.4993162                     -0.13548023
               8.5678596                     -0.14595304
               8.6364021                     -0.15622175
               8.7049456                     -0.16616836
                8.773488                     -0.17566761
               8.8420305                      -0.1845877
                8.910574                     -0.19279125
               8.9791164                     -0.20013635
               9.0476599                     -0.20647776
               9.1162024                      -0.2116683
               9.1847448                     -0.21556021
               9.2532883                     -0.21800686
               9.3218307                     -0.21886437
               9.3903742                     -0.21799333
               9.4589167                     -0.21526082
               9.5274591                      -0.2105421
               9.5960026                     -0.20372272
               9.6645451                     -0.19470039
               9.7330885                     -0.18338692
                9.801631                     -0.16971016
               9.8701744                     -0.15361577
               9.9387169                     -0.13506903
               10.007259                     -0.11405637
               10.075803                    -0.090586968
               10.144345                    -0.064693928
               10.212889                     -0.03643544
               10.281431                   -0.0058956356
               10.349974                     0.026814798
               10.418517                     0.061558269
                10.48706                     0.098170228
               10.555603                      0.13645941
               10.624146                      0.17620842
               10.692689                      0.21717462
               10.761231                      0.25909135
               10.829774                      0.30166951
               10.898317                      0.34459943
                10.96686                       0.3875531
               11.035403                      0.43018669
               11.103946                      0.47214341
               11.172488                      0.51305646
               11.241032                       0.5525524
               11.309574                      0.59025478
               11.378118                      0.62578773
                11.44666                      0.65877986
               11.515203                      0.68886811
               11.583746                      0.71570176
               11.652288                      0.73894644
               11.720832                      0.75828809
               11.789374                      0.77343667
               11.857918                      0.78412998
                11.92646                      0.79013711
               11.995003                      0.79126167
               12.063546                      0.78734463
               12.132089                      0.77826726
               12.200632                      0.76395309
               12.269175                      0.74436975
               12.337717                       0.7195307
                12.40626                      0.68949568
               12.474803                      0.65437144
               12.543346                      0.61431175
               12.611889                      0.56951636
               12.680432                      0.52023053
               12.748975                      0.46674278
               12.817517                      0.40938324
               12.886061                      0.34852076
               12.954603                      0.28455991
               13.023147                      0.21793751
               13.091689                      0.14911874
               13.160232                       0.0785928
               13.228775                     0.006868423
               13.297318                    -0.065530941
               13.365861                     -0.13807216
               13.434403                     -0.21021755
               13.502946                      -0.2814301
               13.571489                     -0.35117874
               13.640032                     -0.41894346
               13.708575                     -0.48422056
               13.777118                     -0.54652739
               13.845661                     -0.60540724
               13.914204                     -0.66043353
               13.982746                     -0.71121407
                14.05129                     -0.75739473
               14.119832                     -0.79866266
               14.188375                     -0.83474916
               14.256918                      -0.8654319
                14.32546                     -0.89053684
               14.394004                     -0.90993953
               14.462546                     -0.92356557
                14.53109                     -0.93139106
               14.599632                     -0.93344223
               14.668176                     -0.92979425
               14.736718                     -0.92057014
               14.805261                     -0.90593863
               14.873804                     -0.88611186
               14.942347                     -0.86134255
                15.01089                     -0.83192086
               15.079432                      -0.7981708
               15.147975                     -0.76044637
               15.216518                     -0.71912736
               15.285061                     -0.67461544
