        Frequency / MHz                S1,1 (Mesh Pass=3)/abs,dB
----------------------------------------------------------------------
                      40                     -0.16561021
               40.259998                     -0.16035643
                   40.52                     -0.15826921
               40.779999                     -0.17308355
               41.040001                     -0.21006751
               41.299999                     -0.26337572
               41.560001                     -0.32037801
                   41.82                     -0.37064879
               42.080002                     -0.41440039
                   42.34                     -0.46498611
               42.599998                     -0.54396781
               42.860001                     -0.67207648
               43.119999                     -0.86062351
               43.380001                      -1.1057755
               43.639999                      -1.3858794
               43.900002                       -1.661933
                   44.16                      -1.8829291
               44.419998                      -1.9985504
                   44.68                      -1.9778937
               44.939999                      -1.8246654
               45.200001                      -1.5769139
               45.459999                      -1.2906127
               45.720001                      -1.0188687
                   45.98                     -0.79772655
               46.240002                     -0.64106122
                    46.5                     -0.54235705
               46.759998                     -0.48133153
                   47.02                      -0.4339987
               47.279999                     -0.38339633
               47.540001                     -0.32608202
               47.799999                     -0.27065753
               48.060001                     -0.22961283
                   48.32                      -0.2100581
               48.580002                     -0.20881985
                   48.84                     -0.21419561
               49.099998                     -0.21305361
               49.360001                     -0.19891115
               49.619999                     -0.17565425
               49.880001                     -0.15434454
               50.139999                     -0.14559123
               50.400002                     -0.15272849
                   50.66                      -0.1699041
               50.919998                     -0.18597422
                   51.18                     -0.19176477
               51.439999                     -0.18604482
               51.700001                     -0.17615151
               51.959999                     -0.17295976
               52.220001                     -0.18387743
                   52.48                     -0.20841018
               52.740002                     -0.23879951
                      53                     -0.26517523
               53.259998                     -0.28202309
                   53.52                     -0.29177834
               53.779999                     -0.30317981
               54.040001                     -0.32572437
               54.299999                     -0.36399869
               54.560001                     -0.41529352
                   54.82                     -0.47163657
               55.080002                     -0.52489494
                   55.34                      -0.5718458
               55.599998                      -0.6160629
               55.860001                     -0.66553179
               56.119999                     -0.72775935
               56.380001                      -0.8054273
               56.639999                     -0.89488667
               56.900002                     -0.98796503
                   57.16                      -1.0759017
               57.419998                      -1.1531824
                   57.68                      -1.2191968
               57.939999                      -1.2769883
               58.200001                      -1.3301243
               58.459999                      -1.3796083
               58.720001                      -1.4223967
                   58.98                      -1.4520914
               59.240002                      -1.4614462
                    59.5                       -1.445578
               59.759998                      -1.4044785
                   60.02                      -1.3435775
               60.279999                      -1.2719813
               60.540001                      -1.1991434
               60.799999                      -1.1314459
               61.060001                      -1.0702358
                   61.32                      -1.0122224
               61.580002                      -0.9521804
                   61.84                     -0.88671342
               62.099998                     -0.81699626
               62.360001                     -0.74873489
               62.619999                     -0.68923742
               62.880001                     -0.64331344
               63.139999                     -0.61041493
               63.400002                     -0.58476663
                   63.66                     -0.55857889
               63.919998                     -0.52664837
                   64.18                     -0.48950558
               64.440002                     -0.45296907
               64.699997                     -0.42430303
               64.959999                     -0.40748065
               65.220001                     -0.40052342
               65.480003                     -0.39654955
               65.739998                     -0.38799479
                      66                     -0.37141712
               66.260002                     -0.34969032
               66.519997                     -0.33001109
               66.779999                     -0.31908173
               67.040001                     -0.31869319
               67.300003                     -0.32451171
               67.559998                     -0.32883194
                   67.82                      -0.3256132
               68.080002                     -0.31450925
               68.339996                     -0.30107186
               68.599998                     -0.29297429
               68.860001                     -0.29489081
               69.120003                     -0.30542476
               69.379997                     -0.31802422
               69.639999                     -0.32531229
               69.900002                     -0.32406394
               70.160004                     -0.31743128
               70.419998                     -0.31281323
                   70.68                     -0.31691297
               70.940002                      -0.3313582
               71.199997                      -0.3517064
               71.459999                     -0.37044213
               71.720001                      -0.3820764
               71.980003                      -0.3869655
               72.239998                     -0.39117371
                    72.5                     -0.40249483
               72.760002                     -0.42543496
               73.019997                     -0.45847866
               73.279999                     -0.49531055
               73.540001                     -0.52926341
               73.800003                     -0.55811421
               74.059998                     -0.58599746
                   74.32                     -0.62112589
               74.580002                       -0.670965
               74.839996                     -0.73813741
               75.099998                     -0.81964857
               75.360001                     -0.90989936
               75.620003                      -1.0056862
               75.879997                      -1.1100565
               76.139999                      -1.2325563
               76.400002                      -1.3858961
               76.660004                      -1.5814963
               76.919998                      -1.8268965
                   77.18                      -2.1266912
               77.440002                      -2.4866601
               77.699997                      -2.9190458
               77.959999                      -3.4462385
               78.220001                      -4.1010273
               78.480003                      -4.9233424
               78.739998                      -5.9540683
                      79                       -7.223675
               79.260002                      -8.7243497
               79.519997                       -10.33552
               79.779999                      -11.680091
               80.040001                       -12.14066
               80.300003                      -11.501602
               80.559998                      -10.266037
                   80.82                      -8.9564662
               81.080002                      -7.7968001
               81.339996                      -6.8369967
               81.599998                       -6.064919
               81.860001                      -5.4507224
               82.120003                      -4.9616496
               82.379997                      -4.5678094
               82.639999                      -4.2456848
               82.900002                      -3.9802092
               83.160004                      -3.7644909
               83.419998                      -3.5968229
                   83.68                      -3.4762305
               83.940002                      -3.3987494
               84.199997                      -3.3563434
               84.459999                      -3.3390293
               84.720001                      -3.3389915
               84.980003                      -3.3540954
               85.239998                        -3.38829
                    85.5                      -3.4483475
               85.760002                      -3.5388679
               86.019997                      -3.6585677
               86.279999                      -3.8000844
               86.540001                      -3.9535546
               86.800003                      -4.1118687
               87.059998                      -4.2740109
                   87.32                      -4.4437143
               87.580002                      -4.6238337
               87.839996                      -4.8100119
               88.099998                      -4.9880662
               88.360001                      -5.1376937
               88.620003                      -5.2411893
               88.879997                      -5.2915869
               89.139999                      -5.2939129
               89.400002                      -5.2585596
               89.660004                      -5.1925475
               89.919998                      -5.0957196
                   90.18                      -4.9643886
               90.440002                      -4.7988978
               90.699997                      -4.6085538
               90.959999                      -4.4097126
               91.220001                      -4.2186343
               91.480003                      -4.0444749
               91.739998                      -3.8868738
                      92                      -3.7391188
               92.260002                      -3.5945874
               92.519997                      -3.4522838
               92.779999                      -3.3179136
               93.040001                      -3.2000893
               93.300003                      -3.1046159
               93.559998                      -3.0307238
                   93.82                      -2.9715614
               94.080002                      -2.9185347
               94.339996                      -2.8667904
               94.599998                      -2.8182053
               94.860001                      -2.7798612
               95.120003                      -2.7591567
               95.379997                      -2.7589124
               95.639999                      -2.7755934
               95.900002                      -2.8016813
               96.160004                       -2.830754
               96.419998                      -2.8620302
                   96.68                      -2.9012937
               96.940002                      -2.9575874
               97.199997                      -3.0379753
               97.459999                      -3.1438002
               97.720001                      -3.2707004
               97.980003                      -3.4124058
               98.239998                      -3.5660881
                    98.5                      -3.7359023
               98.760002                      -3.9324053
               99.019997                      -4.1683202
               99.279999                      -4.4534621
               99.540001                      -4.7919276
               99.800003                      -5.1830816
                  100.06                      -5.6259038
                  100.32                      -6.1243035
                  100.58                      -6.6902628
                  100.84                      -7.3425784
                   101.1                      -8.1011854
                  101.36                      -8.9782982
                  101.62                      -9.9664474
                  101.88                      -11.020401
                  102.14                      -12.029425
                   102.4                      -12.793187
                  102.66                      -13.065773
                  102.92                      -12.724369
                  103.18                      -11.892929
                  103.44                      -10.823322
                   103.7                      -9.7202022
                  103.96                      -8.6921253
                  104.22                      -7.7774846
                  104.48                      -6.9767867
                  104.74                      -6.2748421
                     105                       -5.654635
                  105.26                      -5.1048413
                  105.52                      -4.6214112
                  105.78                      -4.2043483
                  106.04                      -3.8524133
                   106.3                       -3.559046
                  106.56                      -3.3117471
                  106.82                      -3.0953985
                  107.08                      -2.8978349
                  107.34                      -2.7143711
                   107.6                      -2.5482023
                  107.86                      -2.4062052
                  108.12                       -2.292802
                  108.38                      -2.2056483
                  108.64                      -2.1357037
                   108.9                      -2.0717185
                  109.16                      -2.0065643
                  109.42                      -1.9412566
                  109.68                      -1.8837425
                  109.94                      -1.8431694
                   110.2                      -1.8234744
                  110.46                      -1.8203636
                  110.72                      -1.8235925
                  110.98                      -1.8233572
                  111.24                      -1.8168346
                   111.5                      -1.8102684
                  111.76                      -1.8149419
                  112.02                      -1.8397686
                  112.28                      -1.8854389
                  112.54                      -1.9438064
                   112.8                      -2.0031277
                  113.06                      -2.0561899
                  113.32                      -2.1059244
                  113.58                      -2.1642814
                  113.84                      -2.2449507
                   114.1                      -2.3548606
                  114.36                      -2.4899028
                  114.62                      -2.6376651
                  114.88                      -2.7860801
                  115.14                       -2.932877
                   115.4                      -3.0890626
                  115.66                      -3.2733752
                  115.92                      -3.5012555
                  116.18                      -3.7753527
                  116.44                      -4.0833176
                   116.7                      -4.4050523
                  116.96                      -4.7265598
                  117.22                      -5.0515138
                  117.48                      -5.4006629
                  117.74                      -5.7973559
                     118                      -6.2475524
                  118.26                      -6.7259968
                  118.52                      -7.1792596
                  118.78                      -7.5516639
                  119.04                      -7.8216695
                   119.3                      -8.0145424
                  119.56                       -8.172987
                  119.82                      -8.3115683
                  120.08                        -8.39493
                  120.34                      -8.3620269
                   120.6                      -8.1858026
                  120.86                      -7.9132296
                  121.12                      -7.6398024
                  121.38                       -7.448545
                  121.64                      -7.3678199
                   121.9                      -7.3641465
                  122.16                      -7.3688294
                  122.42                      -7.3358633
                  122.68                      -7.2995472
                  122.94                      -7.3808333
                   123.2                      -7.7443192
                  123.46                       -8.553013
                  123.72                      -9.9147665
                  123.98                      -11.640444
                  124.24                      -12.460773
                   124.5                      -10.890025
                  124.76                      -8.2998846
                  125.02                       -6.052924
                  125.28                      -4.3982736
                  125.54                      -3.2781149
                   125.8                      -2.5952813
                  126.06                      -2.2525634
                  126.32                      -2.1509642
                  126.58                      -2.1883571
                  126.84                      -2.2705756
                   127.1                      -2.3341309
                  127.36                      -2.3637668
                  127.62                      -2.3858206
                  127.88                      -2.4407092
                  128.14                      -2.5557109
               128.39999                      -2.7323406
                  128.66                      -2.9490903
                  128.92                      -3.1748546
               129.17999                      -3.3860516
                  129.44                      -3.5778138
                   129.7                      -3.7622224
               129.96001                      -3.9563608
                  130.22                      -4.1704333
