        Frequency / MHz                S1,1 (Mesh Pass=3)/arg,degrees
----------------------------------------------------------------------
                      40                      0.16116828
               40.259998                     -0.83772011
                   40.52                      -1.9698796
               40.779999                      -3.1977659
               41.040001                      -4.4341439
               41.299999                      -5.5988834
               41.560001                      -6.6714114
                   41.82                      -7.7074947
               42.080002                      -8.8070426
                   42.34                      -10.050031
               42.599998                      -11.439061
               42.860001                      -12.878049
               43.119999                      -14.189014
               43.380001                      -15.152235
               43.639999                      -15.557904
               43.900002                      -15.266796
                   44.16                      -14.277136
               44.419998                      -12.775594
                   44.68                      -11.125278
               44.939999                      -9.7587535
               45.200001                      -9.0200626
               45.459999                      -9.0551498
               45.720001                      -9.8042034
                   45.98                      -11.067896
               46.240002                      -12.594975
                    46.5                      -14.160887
               46.759998                      -15.626085
                   47.02                      -16.963119
               47.279999                      -18.239546
               47.540001                      -19.558888
               47.799999                      -20.990398
               48.060001                      -22.529429
                   48.32                      -24.108206
               48.580002                      -25.643971
                   48.84                      -27.093465
               49.099998                      -28.481842
               49.360001                      -29.887846
               49.619999                      -31.393986
               49.880001                      -33.035891
               50.139999                       -34.78494
               50.400002                      -36.572821
                   50.66                      -38.339518
               50.919998                      -40.074896
                   51.18                      -41.828331
               51.439999                      -43.679528
               51.700001                        -45.6899
               51.959999                      -47.868248
               52.220001                      -50.172234
                   52.48                      -52.542378
               52.740002                      -54.945549
                      53                      -57.401484
               53.259998                      -59.976463
                   53.52                      -62.747248
               53.779999                      -65.760214
               54.040001                      -69.012381
               54.299999                       -72.46511
               54.560001                      -76.078669
                   54.82                      -79.847255
               55.080002                      -83.813408
                   55.34                      -88.053733
               55.599998                      -92.645102
               55.860001                      -97.632773
               56.119999                      -103.01983
               56.380001                      -108.78088
               56.639999                      -114.88961
               56.900002                      -121.34343
                   57.16                      -128.17151
               57.419998                      -135.42145
                   57.68                      -143.13183
               57.939999                      -151.30487
               58.200001                      -159.89252
               58.459999                      -168.80169
               58.720001                      -177.91278
                   58.98                       172.89654
               59.240002                       163.73124
                    59.5                        154.6702
               59.759998                       145.77035
                   60.02                       137.08011
               60.279999                       128.65376
               60.540001                       120.55739
               60.799999                       112.86277
               61.060001                       105.63037
                   61.32                       98.890173
               61.580002                       92.629732
                   61.84                       86.798498
               62.099998                       81.329101
               62.360001                       76.166407
               62.619999                       71.287493
               62.880001                       66.702141
               63.139999                       62.433437
               63.400002                       58.489767
                   63.66                       54.845072
               63.919998                       51.439729
                   64.18                       48.203914
               64.440002                       45.089046
               64.699997                       42.086988
               64.959999                        39.22459
               65.220001                       36.537131
